value,botw_trend,totk_trend
0,3353.947106,3828.761673
1,3352.750475,3827.565042
2,3351.554317,3826.368884
3,3350.358633,3825.1732
4,3349.163421,3823.977988
5,3347.968682,3822.783249
6,3346.774416,3821.588983
7,3345.580623,3820.39519
8,3344.387303,3819.20187
9,3343.194456,3818.009023
10,3342.002082,3816.816649
11,3340.810181,3815.624748
12,3339.618753,3814.43332
13,3338.427798,3813.242365
14,3337.237315,3812.051882
15,3336.047306,3810.861873
16,3334.85777,3809.672337
17,3333.668706,3808.483273
18,3332.480116,3807.294683
19,3331.291998,3806.106565
20,3330.104354,3804.918921
21,3328.917182,3803.731749
22,3327.730483,3802.54505
23,3326.544257,3801.358824
24,3325.358504,3800.173071
25,3324.173225,3798.987792
26,3322.988418,3797.802985
27,3321.804084,3796.618651
28,3320.620222,3795.434789
29,3319.436834,3794.251401
30,3318.253919,3793.068486
31,3317.071477,3791.886044
32,3315.889508,3790.704075
33,3314.708011,3789.522578
34,3313.526988,3788.341555
35,3312.346437,3787.161004
36,3311.16636,3785.980927
37,3309.986755,3784.801322
38,3308.807624,3783.622191
39,3307.628965,3782.443532
40,3306.450779,3781.265346
41,3305.273066,3780.087633
42,3304.095827,3778.910394
43,3302.91906,3777.733627
44,3301.742766,3776.557333
45,3300.566945,3775.381512
46,3299.391597,3774.206164
47,3298.216722,3773.031289
48,3297.042319,3771.856886
49,3295.86839,3770.682957
50,3294.694934,3769.509501
51,3293.521951,3768.336518
52,3292.34944,3767.164007
53,3291.177403,3765.99197
54,3290.005838,3764.820405
55,3288.834747,3763.649314
56,3287.664128,3762.478695
57,3286.493982,3761.308549
58,3285.32431,3760.138877
59,3284.15511,3758.969677
60,3282.986383,3757.80095
61,3281.818129,3756.632696
62,3280.650348,3755.464915
63,3279.48304,3754.297607
64,3278.316205,3753.130772
65,3277.149843,3751.96441
66,3275.983954,3750.798521
67,3274.818538,3749.633105
68,3273.653594,3748.468161
69,3272.489124,3747.303691
70,3271.325127,3746.139694
71,3270.161602,3744.976169
72,3268.998551,3743.813118
73,3267.835972,3742.650539
74,3266.673866,3741.488433
75,3265.512234,3740.326801
76,3264.351074,3739.165641
77,3263.190387,3738.004954
78,3262.030173,3736.84474
79,3260.870432,3735.684999
80,3259.711165,3734.525732
81,3258.55237,3733.366937
82,3257.394047,3732.208614
83,3256.236198,3731.050765
84,3255.078822,3729.893389
85,3253.921919,3728.736486
86,3252.765489,3727.580056
87,3251.609531,3726.424098
88,3250.454047,3725.268614
89,3249.299036,3724.113603
90,3248.144497,3722.959064
91,3246.990432,3721.804999
92,3245.836839,3720.651406
93,3244.683719,3719.498286
94,3243.531073,3718.34564
95,3242.378899,3717.193466
96,3241.227198,3716.041765
97,3240.07597,3714.890537
98,3238.925215,3713.739782
99,3237.774933,3712.5895
100,3236.625124,3711.439691
101,3235.475788,3710.290355
102,3234.326925,3709.141492
103,3233.178535,3707.993102
104,3232.030617,3706.845184
105,3230.883173,3705.69774
106,3229.736202,3704.550769
107,3228.589703,3703.40427
108,3227.443678,3702.258245
109,3226.298125,3701.112692
110,3225.153046,3699.967613
111,3224.008439,3698.823006
112,3222.864305,3697.678872
113,3221.720644,3696.535211
114,3220.577457,3695.392024
115,3219.434742,3694.249309
116,3218.2925,3693.107067
117,3217.150731,3691.965298
118,3216.009435,3690.824002
119,3214.868612,3689.683179
120,3213.728261,3688.542828
121,3212.588384,3687.402951
122,3211.44898,3686.263547
123,3210.310049,3685.124616
124,3209.17159,3683.986157
125,3208.033605,3682.848172
126,3206.896092,3681.710659
127,3205.759053,3680.57362
128,3204.622486,3679.437053
129,3203.486393,3678.30096
130,3202.350772,3677.165339
131,3201.215624,3676.030191
132,3200.080949,3674.895516
133,3198.946747,3673.761314
134,3197.813019,3672.627586
135,3196.679763,3671.49433
136,3195.54698,3670.361547
137,3194.414669,3669.229236
138,3193.282832,3668.097399
139,3192.151468,3666.966035
140,3191.020577,3665.835144
141,3189.890158,3664.704725
142,3188.760213,3663.57478
143,3187.630741,3662.445308
144,3186.501741,3661.316308
145,3185.373215,3660.187782
146,3184.245161,3659.059728
147,3183.11758,3657.932147
148,3181.990473,3656.80504
149,3180.863838,3655.678405
150,3179.737676,3654.552243
151,3178.611987,3653.426554
152,3177.486771,3652.301338
153,3176.362028,3651.176595
154,3175.237758,3650.052325
155,3174.113961,3648.928528
156,3172.990637,3647.805204
157,3171.867786,3646.682353
158,3170.745408,3645.559975
159,3169.623502,3644.438069
160,3168.50207,3643.316637
161,3167.381111,3642.195678
162,3166.260624,3641.075191
163,3165.140611,3639.955178
164,3164.02107,3638.835637
165,3162.902002,3637.716569
166,3161.783408,3636.597975
167,3160.665286,3635.479853
168,3159.547637,3634.362204
169,3158.430461,3633.245028
170,3157.313758,3632.128325
171,3156.197528,3631.012095
172,3155.081771,3629.896338
173,3153.966487,3628.781054
174,3152.851676,3627.666243
175,3151.737338,3626.551905
176,3150.623473,3625.43804
177,3149.51008,3624.324647
178,3148.397161,3623.211728
179,3147.284715,3622.099282
180,3146.172741,3620.987308
181,3145.061241,3619.875808
182,3143.950213,3618.76478
183,3142.839658,3617.654225
184,3141.729577,3616.544144
185,3140.619968,3615.434535
186,3139.510832,3614.325399
187,3138.402169,3613.216736
188,3137.293979,3612.108546
189,3136.186263,3611.00083
190,3135.079019,3609.893586
191,3133.972247,3608.786814
192,3132.865949,3607.680516
193,3131.760124,3606.574691
194,3130.654772,3605.469339
195,3129.549893,3604.36446
196,3128.445486,3603.260053
197,3127.341553,3602.15612
198,3126.238092,3601.052659
199,3125.135105,3599.949672
200,3124.03259,3598.847157
201,3122.930549,3597.745116
202,3121.82898,3596.643547
203,3120.727884,3595.542451
204,3119.627261,3594.441828
205,3118.527112,3593.341679
206,3117.427435,3592.242002
207,3116.328231,3591.142798
208,3115.2295,3590.044067
209,3114.131242,3588.945809
210,3113.033457,3587.848024
211,3111.936144,3586.750711
212,3110.839305,3585.653872
213,3109.742939,3584.557506
214,3108.647046,3583.461613
215,3107.551625,3582.366192
216,3106.456678,3581.271245
217,3105.362203,3580.17677
218,3104.268202,3579.082769
219,3103.174673,3577.98924
220,3102.081617,3576.896184
221,3100.989035,3575.803602
222,3099.896925,3574.711492
223,3098.805288,3573.619855
224,3097.714124,3572.528691
225,3096.623433,3571.438
226,3095.533215,3570.347782
227,3094.44347,3569.258037
228,3093.354198,3568.168765
229,3092.265399,3567.079966
230,3091.177072,3565.991639
231,3090.089219,3564.903786
232,3089.001839,3563.816406
233,3087.914931,3562.729498
234,3086.828497,3561.643064
235,3085.742536,3560.557103
236,3084.657047,3559.471614
237,3083.572031,3558.386598
238,3082.487489,3557.302056
239,3081.403419,3556.217986
240,3080.319822,3555.134389
241,3079.236698,3554.051265
242,3078.154047,3552.968614
243,3077.07187,3551.886437
244,3075.990165,3550.804732
245,3074.908932,3549.723499
246,3073.828173,3548.64274
247,3072.747887,3547.562454
248,3071.668074,3546.482641
249,3070.588734,3545.403301
250,3069.509866,3544.324433
251,3068.431472,3543.246039
252,3067.353551,3542.168118
253,3066.276102,3541.090669
254,3065.199126,3540.013693
255,3064.122624,3538.937191
256,3063.046594,3537.861161
257,3061.971037,3536.785604
258,3060.895954,3535.710521
259,3059.821343,3534.63591
260,3058.747205,3533.561772
261,3057.67354,3532.488107
262,3056.600348,3531.414915
263,3055.527629,3530.342196
264,3054.455383,3529.26995
265,3053.38361,3528.198177
266,3052.31231,3527.126877
267,3051.241482,3526.056049
268,3050.171128,3524.985695
269,3049.101247,3523.915814
270,3048.031838,3522.846405
271,3046.962903,3521.77747
272,3045.89444,3520.709007
273,3044.826451,3519.641018
274,3043.758934,3518.573501
275,3042.69189,3517.506457
276,3041.625319,3516.439886
277,3040.559222,3515.373789
278,3039.493597,3514.308164
279,3038.428445,3513.243012
280,3037.363766,3512.178333
281,3036.29956,3511.114127
282,3035.235827,3510.050394
283,3034.172566,3508.987133
284,3033.109779,3507.924346
285,3032.047465,3506.862032
286,3030.985624,3505.800191
287,3029.924255,3504.738822
288,3028.86336,3503.677927
289,3027.802937,3502.617504
290,3026.742988,3501.557555
291,3025.683511,3500.498078
292,3024.624508,3499.439075
293,3023.565977,3498.380544
294,3022.507919,3497.322486
295,3021.450334,3496.264901
296,3020.393222,3495.207789
297,3019.336584,3494.151151
298,3018.280418,3493.094985
299,3017.224724,3492.039291
300,3016.169504,3490.984071
301,3015.114757,3489.929324
302,3014.060483,3488.87505
303,3013.006682,3487.821249
304,3011.953353,3486.76792
305,3010.900498,3485.715065
